statecode,dates,confirmed,recovered,tested,other,deceased,vaccinated1,vaccinated2
AN,26-03-2020,1,0,0,0,0,0,0
AN,27-03-2020,6,0,0,0,0,0,0
AN,28-03-2020,9,0,0,0,0,0,0
AN,30-03-2020,10,0,0,0,0,0,0
AN,08-04-2020,1,0,0,0,0,0,0
AN,09-04-2020,1,10,0,0,0,0,0
AN,16-04-2020,0,1,0,0,0,0,0
AN,17-04-2020,1,1,1403,0,0,0,0
AN,18-04-2020,3,1,1403,0,0,0,0
AN,19-04-2020,4,1,1403,0,0,0,0
AN,20-04-2020,5,1,1403,0,0,0,0
AN,21-04-2020,6,1,1403,0,0,0,0
AN,22-04-2020,7,1,1403,0,0,0,0
AN,23-04-2020,11,0,1403,0,0,0,0
AN,24-04-2020,17,0,1276,0,0,0,0
AN,25-04-2020,19,0,1276,0,0,0,0
AN,27-04-2020,17,0,1445,0,0,0,0
AN,28-04-2020,16,4,1445,0,0,0,0
AN,30-04-2020,11,5,1445,0,0,0,0
AN,01-05-2020,4,5,1075,0,0,0,0
AN,02-05-2020,0,15,1075,0,0,0,0
AN,03-05-2020,0,21,1075,0,0,0,0
AN,07-05-2020,0,17,906,0,0,0,0
AN,16-05-2020,0,0,2923,0,0,0,0
AN,19-05-2020,0,0,3211,0,0,0,0
AN,20-05-2020,0,0,3328,0,0,0,0
AN,21-05-2020,0,0,3413,0,0,0,0
AN,22-05-2020,0,0,3509,0,0,0,0
AN,23-05-2020,0,0,650,0,0,0,0
AN,25-05-2020,0,0,686,0,0,0,0
AN,26-05-2020,0,0,483,0,0,0,0
AN,27-05-2020,0,0,417,0,0,0,0
AN,28-05-2020,0,0,352,0,0,0,0
AN,29-05-2020,0,0,304,0,0,0,0
AN,31-05-2020,0,0,379,0,0,0,0
AN,01-06-2020,0,0,442,0,0,0,0
AN,02-06-2020,0,0,638,0,0,0,0
AN,03-06-2020,0,0,796,0,0,0,0
AN,04-06-2020,0,0,894,0,0,0,0
AN,05-06-2020,0,0,1127,0,0,0,0
AN,06-06-2020,0,0,1470,0,0,0,0
AN,07-06-2020,0,0,1536,0,0,0,0
AN,08-06-2020,0,0,1536,0,0,0,0
AN,09-06-2020,1,0,1773,0,0,0,0
AN,10-06-2020,2,0,1715,0,0,0,0
AN,11-06-2020,5,0,1813,0,0,0,0
AN,12-06-2020,5,0,2003,0,0,0,0
AN,13-06-2020,5,0,1918,0,0,0,0
AN,14-06-2020,7,0,2114,0,0,0,0
AN,15-06-2020,8,0,2177,0,0,0,0
AN,16-06-2020,10,0,1950,0,0,0,0
AN,17-06-2020,9,0,2229,0,0,0,0
AN,18-06-2020,7,2,2396,0,0,0,0
AN,19-06-2020,9,2,2233,0,0,0,0
AN,20-06-2020,9,2,2365,0,0,0,0
AN,21-06-2020,8,4,2078,0,0,0,0
AN,22-06-2020,7,4,1993,0,0,0,0
AN,23-06-2020,6,7,1914,0,0,0,0
AN,24-06-2020,12,8,1755,0,0,0,0
AN,25-06-2020,13,6,1655,0,0,0,0
AN,26-06-2020,25,8,1653,0,0,0,0
AN,27-06-2020,25,8,1531,0,0,0,0
AN,28-06-2020,35,8,1660,0,0,0,0
AN,29-06-2020,42,8,1899,0,0,0,0
AN,30-06-2020,47,5,1986,0,0,0,0
AN,01-07-2020,44,9,1988,0,0,0,0
AN,02-07-2020,51,10,2001,0,0,0,0
AN,03-07-2020,44,11,2043,0,0,0,0
AN,04-07-2020,47,23,1981,0,0,0,0
AN,05-07-2020,42,27,1815,0,0,0,0
AN,06-07-2020,51,29,1685,0,0,0,0
AN,07-07-2020,50,29,1672,0,0,0,0
AN,08-07-2020,49,24,1661,0,0,0,0
AN,09-07-2020,47,32,1574,0,0,0,0
AN,10-07-2020,40,38,1420,0,0,0,0
AN,11-07-2020,37,26,1483,0,0,0,0
AN,12-07-2020,38,28,1538,0,0,0,0
AN,13-07-2020,25,35,1514,0,0,0,0
AN,14-07-2020,24,55,1503,0,0,0,0
AN,15-07-2020,27,56,1418,0,0,0,0
AN,16-07-2020,24,50,1375,0,0,0,0
AN,17-07-2020,28,50,1375,0,0,0,0
AN,18-07-2020,32,53,1356,0,0,0,0
AN,19-07-2020,40,45,1457,1,0,0,0
AN,20-07-2020,41,42,1692,1,0,0,0
AN,21-07-2020,41,30,1758,1,0,0,0
AN,22-07-2020,45,33,1982,1,0,0,0
AN,23-07-2020,60,37,2083,1,0,0,0
AN,24-07-2020,75,32,2322,1,0,0,0
AN,25-07-2020,102,31,2294,1,0,0,0
AN,26-07-2020,115,35,2145,0,0,0,0
AN,27-07-2020,131,41,2247,0,1,0,0
AN,28-07-2020,151,37,2283,0,1,0,0
AN,29-07-2020,207,38,2174,0,2,0,0
AN,30-07-2020,230,31,2305,0,3,0,0
AN,31-07-2020,289,40,2295,0,5,0,0
AN,01-08-2020,346,50,2343,0,7,0,0
AN,02-08-2020,416,62,2531,0,8,0,0
AN,03-08-2020,492,71,2486,-1,9,0,0
AN,04-08-2020,565,81,2567,-1,11,0,0
AN,05-08-2020,599,125,2609,-1,12,0,0
AN,06-08-2020,653,154,2901,-1,13,0,0
AN,07-08-2020,674,211,2877,-1,14,0,0
AN,08-08-2020,715,274,2765,-1,13,0,0
