districts,statecode,vaccinated2,vaccinated1,confirmed,recovered,deceased,tested,other
North and Middle Andaman,AN,8,0,0,0,0,0,0
South Andaman,AN,28,3,0,0,0,0,0
Anantapur,AP,5370,4575,4,5,0,0,0
Chittoor,AP,1306,878,64,87,1,0,0
East Godavari,AP,237,41,87,121,0,0,0
Guntur,AP,1248,1119,33,198,0,0,0
Krishna,AP,337,51,46,71,1,0,0
Kurnool,AP,1538,4716,6,3,0,0,0
Prakasam,AP,5872,3292,6,37,0,0,0
S.P.S. Nellore,AP,1639,2724,34,23,1,0,0
Srikakulam,AP,6,2,19,20,0,0,0
Visakhapatnam,AP,2311,1309,27,30,0,0,0
Vizianagaram,AP,1855,601,7,11,1,0,0
West Godavari,AP,1884,878,40,44,0,0,0
Y.S.R. Kadapa,AP,1101,1005,12,25,0,0,0
Changlang,AR,0,0,0,1,0,0,0
East Kameng,AR,1,0,0,0,0,0,0
East Siang,AR,0,0,0,5,0,0,0
Lepa Rada,AR,54,6,0,0,0,0,0
Lower Dibang Valley,AR,1,19,0,0,0,0,0
Lower Subansiri,AR,36,2,0,0,0,0,0
Pakke Kessang,AR,14,0,0,0,0,0,0
Papum Pare,AR,0,0,1,1,0,0,0
West Kameng,AR,89,15,0,7,0,0,0
West Siang,AR,0,0,0,-5,0,0,0
Baksa,AS,172,39,0,0,0,0,0
Barpeta,AS,1035,369,0,0,0,0,0
Biswanath,AS,1655,507,0,0,0,0,0
Bongaigaon,AS,1287,85,0,0,0,0,0
Cachar,AS,966,2149,0,0,0,0,0
Charaideo,AS,26,3,0,0,0,0,0
Chirang,AS,89,22,0,0,0,0,0
Darrang,AS,270,365,0,0,0,0,0
Dhemaji,AS,47,55,0,0,0,0,0
Dhubri,AS,1906,1042,0,0,0,0,0
Dibrugarh,AS,4007,699,0,0,0,0,0
Dima Hasao,AS,59,160,0,0,0,0,0
Goalpara,AS,81,47,0,0,0,0,0
Golaghat,AS,2676,504,0,0,0,0,0
Hailakandi,AS,705,88,0,0,0,0,0
Hojai,AS,2979,512,0,0,0,0,0
Jorhat,AS,2154,225,0,0,0,0,0
Kamrup,AS,253,231,0,0,0,0,0
Kamrup Metropolitan,AS,1713,359,0,0,0,0,0
Karbi Anglong,AS,280,342,0,0,0,0,0
Karimganj,AS,1382,331,0,0,0,0,0
Kokrajhar,AS,823,162,0,0,0,0,0
Lakhimpur,AS,1555,148,0,0,0,0,0
Majuli,AS,166,36,0,0,0,0,0
Morigaon,AS,482,264,0,0,0,0,0
Nagaon,AS,1481,758,0,0,0,0,0
Nalbari,AS,1492,388,0,0,0,0,0
Sivasagar,AS,714,46,0,0,0,0,0
Sonitpur,AS,2664,448,0,0,0,0,0
South Salmara Mankachar,AS,1288,260,0,0,0,0,0
Tinsukia,AS,1679,6637,0,0,0,0,0
Udalguri,AS,1396,1935,0,0,0,0,0
Unknown,AS,0,0,212,236,1,0,0
West Karbi Anglong,AS,147,312,0,0,0,0,0
Araria,BR,3067,5177,0,0,0,0,0
Arwal,BR,1360,262,0,0,0,0,0
Aurangabad,BR,2657,1264,0,0,0,0,0
Banka,BR,3138,2635,0,0,0,0,0
Begusarai,BR,2774,1906,0,1,0,0,0
Bhagalpur,BR,3458,2122,0,1,0,0,0
Bhojpur,BR,4879,3232,0,0,0,0,0
Buxar,BR,2516,1083,0,0,0,0,0
Darbhanga,BR,5306,2858,0,0,0,0,0
East Champaran,BR,8014,2434,0,0,0,0,0
Gaya,BR,1689,1708,0,0,0,0,0
Gopalganj,BR,8468,5308,0,0,0,0,0
Jamui,BR,1416,1435,0,0,0,0,0
Jehanabad,BR,1617,498,0,0,0,0,0
Kaimur,BR,2183,1067,0,0,0,0,0
Katihar,BR,2966,2680,0,0,0,0,0
Khagaria,BR,2118,881,0,0,0,0,0
Kishanganj,BR,1445,1997,3,1,0,0,0
Lakhisarai,BR,1005,595,0,0,0,0,0
Madhepura,BR,4459,2700,0,0,0,0,0
Madhubani,BR,6686,2735,2,0,0,0,0
Munger,BR,2867,851,0,0,0,0,0
Muzaffarpur,BR,7023,3545,0,0,0,0,0
Nalanda,BR,1826,2168,0,0,0,0,0
Nawada,BR,4338,4176,0,0,0,0,0
Patna,BR,2024,737,2,3,0,0,0
Purnia,BR,1959,2821,0,0,0,0,0
Rohtas,BR,4149,4911,0,0,0,0,0
Saharsa,BR,18126,28493,0,0,0,0,0
Samastipur,BR,5157,3216,1,1,0,0,0
Saran,BR,6693,4149,0,2,0,0,0
Sheikhpura,BR,788,345,0,0,0,0,0
Sheohar,BR,1629,666,0,0,0,0,0
Sitamarhi,BR,5476,3873,0,0,0,0,0
Siwan,BR,4030,1163,0,0,0,0,0
Supaul,BR,5131,3029,0,0,0,0,0
Vaishali,BR,2621,1522,0,0,0,0,0
West Champaran,BR,6316,7525,0,0,0,0,0
Chandigarh,CH,1282,211,5,3,0,1403,0
Balod,CT,762,523,0,0,0,0,0
Baloda Bazar,CT,605,953,0,1,0,0,0
Balrampur,CT,725,1654,0,0,0,0,0
Bametara,CT,25,25,1,0,0,0,0
