districts,statecode,confirmed
Unknown,AN,9
Anantapur,AP,50
Chittoor,AP,631
East Godavari,AP,401
Guntur,AP,509
Krishna,AP,405
Kurnool,AP,31
Prakasam,AP,243
S.P.S. Nellore,AP,283
Srikakulam,AP,47
Visakhapatnam,AP,273
Vizianagaram,AP,30
West Godavari,AP,171
Y.S.R. Kadapa,AP,146
East Siang,AR,2
Lohit,AR,2
Lower Dibang Valley,AR,6
Lower Subansiri,AR,7
Namsai,AR,8
Pakke Kessang,AR,1
Papum Pare,AR,22
Shi Yomi,AR,3
Tawang,AR,12
Upper Dibang Valley,AR,1
Upper Siang,AR,2
West Kameng,AR,17
West Siang,AR,4
Unknown,AS,1499
Begusarai,BR,8
Bhagalpur,BR,1
East Champaran,BR,1
Gaya,BR,1
Madhepura,BR,1
Munger,BR,1
Patna,BR,14
Samastipur,BR,1
Sitamarhi,BR,1
Supaul,BR,1
Chandigarh,CH,23
Balod,CT,3
Baloda Bazar,CT,1
Bametara,CT,1
Bijapur,CT,6
Bilaspur,CT,12
Dakshin Bastar Dantewada,CT,4
Dhamtari,CT,2
Durg,CT,19
Janjgir Champa,CT,9
Jashpur,CT,6
Kondagaon,CT,2
Korba,CT,13
Koriya,CT,1
Mahasamund,CT,2
Mungeli,CT,2
Narayanpur,CT,1
Other State,CT,3
Raigarh,CT,10
Raipur,CT,15
Rajnandgaon,CT,2
Sukma,CT,3
Surajpur,CT,1
Surguja,CT,2
Uttar Bastar Kanker,CT,4
Delhi,DL,195
Dadra and Nagar Haveli,DN,2
Daman,DN,2
Unknown,GA,409
Ahmedabad,GJ,29
Bhavnagar,GJ,3
Dang,GJ,-2
Gandhinagar,GJ,-1
Gir Somnath,GJ,3
Jamnagar,GJ,1
Junagadh,GJ,13
Kheda,GJ,3
Kutch,GJ,4
Narmada,GJ,2
Navsari,GJ,11
Rajkot,GJ,2
Surat,GJ,38
Tapi,GJ,-1
Vadodara,GJ,16
Valsad,GJ,28
Bilaspur,HP,78
Chamba,HP,8
Hamirpur,HP,177
Kangra,HP,310
Kinnaur,HP,4
Kullu,HP,17
Lahaul and Spiti,HP,1
Mandi,HP,165
Shimla,HP,72
Solan,HP,25
Una,HP,101
Ambala,HR,2
Faridabad,HR,8
Fatehabad,HR,1
Gurugram,HR,47
Kaithal,HR,2
Karnal,HR,2
Kurukshetra,HR,1
Palwal,HR,1
Panchkula,HR,7
Rewari,HR,2
Rohtak,HR,4
Sirsa,HR,3
Sonipat,HR,1
Yamunanagar,HR,2
Bokaro,JH,5
Dhanbad,JH,1
East Singhbhum,JH,11
Garhwa,JH,1
Jamtara,JH,1
Khunti,JH,2
Pakur,JH,1
Ramgarh,JH,1
Ranchi,JH,52
West Singhbhum,JH,3
Anantnag,JK,19
Bandipora,JK,16
Baramulla,JK,57
Budgam,JK,48
Doda,JK,26
Ganderbal,JK,10
Jammu,JK,27
Kathua,JK,1
Kulgam,JK,1
Kupwara,JK,32
Pulwama,JK,8
Punch,JK,13
Rajouri,JK,8
Reasi,JK,13
Samba,JK,1
Srinagar,JK,247
Udhampur,JK,2
