districts,statecode,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
Nicobars,AN,62,811,0,0,0,0,0
North and Middle Andaman,AN,90,1839,0,0,0,0,0
South Andaman,AN,732,8012,0,0,0,0,0
Unknown,AN,0,0,3,5,0,0,0
Anantapur,AP,92803,140903,38,58,0,0,0
Chittoor,AP,63824,119541,516,629,6,0,0
East Godavari,AP,36973,223236,604,520,0,0,0
Guntur,AP,285377,156818,272,619,4,0,0
Krishna,AP,75352,230788,422,467,9,0,0
Kurnool,AP,178620,73119,25,26,0,0,0
Prakasam,AP,137338,130213,103,290,3,0,0
S.P.S. Nellore,AP,96973,114393,155,235,2,0,0
Srikakulam,AP,18883,129575,132,72,0,0,0
Visakhapatnam,AP,65301,207340,237,227,1,0,0
Vizianagaram,AP,44847,123576,53,38,1,0,0
West Godavari,AP,61021,146562,234,246,4,0,0
Y.S.R. Kadapa,AP,65843,90958,82,163,0,0,0
Anjaw,AR,45,452,0,0,0,0,0
Changlang,AR,298,3803,3,3,0,0,0
East Kameng,AR,76,409,0,0,0,0,0
East Siang,AR,365,2013,9,10,0,0,0
Kamle,AR,36,185,0,0,0,0,0
Kra Daadi,AR,5,23,0,0,0,0,0
Kurung Kumey,AR,27,255,0,0,0,0,0
Lepa Rada,AR,40,307,0,1,0,0,0
Lohit,AR,221,1494,9,3,0,0,0
Longding,AR,46,356,1,0,0,0,0
Lower Dibang Valley,AR,171,931,14,3,0,0,0
Lower Siang,AR,37,317,0,0,0,0,0
Lower Subansiri,AR,85,767,5,2,0,0,0
Namsai,AR,209,2436,4,16,0,0,0
Pakke Kessang,AR,25,262,0,0,0,0,0
Papum Pare,AR,1055,3799,7,12,0,0,0
Shi Yomi,AR,2,153,1,10,0,0,0
Siang,AR,40,197,0,0,0,0,0
Tawang,AR,91,759,12,8,0,0,0
Tirap,AR,35,631,0,2,0,0,0
Upper Dibang Valley,AR,3,11,0,1,0,0,0
Upper Siang,AR,38,411,0,2,0,0,0
Upper Subansiri,AR,93,1122,0,0,0,0,0
West Kameng,AR,206,1914,1,21,0,0,0
West Siang,AR,63,640,0,3,0,0,0
Baksa,AS,2992,15169,0,0,0,0,0
Barpeta,AS,10495,48544,0,0,0,0,0
Biswanath,AS,5661,35727,0,0,0,0,0
Bongaigaon,AS,2784,18356,0,0,0,0,0
Cachar,AS,26826,21591,0,0,0,0,0
Charaideo,AS,1853,16868,0,0,0,0,0
Chirang,AS,2488,9573,0,0,0,0,0
Darrang,AS,17453,21800,0,0,0,0,0
Dhemaji,AS,3423,15318,0,0,0,0,0
Dhubri,AS,12450,25644,0,0,0,0,0
Dibrugarh,AS,8869,38695,0,0,0,0,0
Dima Hasao,AS,2532,3737,0,0,0,0,0
Goalpara,AS,4013,30725,0,0,0,0,0
Golaghat,AS,6525,51417,0,0,0,0,0
Hailakandi,AS,1724,11247,0,0,0,0,0
Hojai,AS,6217,36724,0,0,0,0,0
Jorhat,AS,3383,39677,0,0,0,0,0
Kamrup,AS,10451,45828,0,0,0,0,0
Kamrup Metropolitan,AS,6625,38155,0,0,0,0,0
Karbi Anglong,AS,13744,12778,0,0,0,0,0
Karimganj,AS,5088,20659,0,0,0,0,0
Kokrajhar,AS,3935,19711,0,0,0,0,0
Lakhimpur,AS,5870,42164,0,0,0,0,0
Majuli,AS,1524,7176,0,0,0,0,0
Morigaon,AS,5298,27861,0,0,0,0,0
Nagaon,AS,16396,36734,0,0,0,0,0
Nalbari,AS,6785,25411,0,0,0,0,0
Sivasagar,AS,1946,23104,0,0,0,0,0
Sonitpur,AS,8341,48290,0,0,0,0,0
South Salmara Mankachar,AS,1978,15304,0,0,0,0,0
Tinsukia,AS,45002,22410,0,0,0,0,0
Udalguri,AS,17371,19343,0,0,0,0,0
Unknown,AS,0,0,2056,2215,24,0,0
West Karbi Anglong,AS,4593,4186,0,0,0,0,0
Araria,BR,51331,69085,2,0,0,0,0
Arwal,BR,4059,17125,0,0,0,0,0
Aurangabad,BR,25561,56431,0,0,0,0,0
Banka,BR,24239,34077,0,0,0,0,0
Begusarai,BR,33903,65735,2,7,0,0,0
Bhagalpur,BR,49875,78088,1,1,0,0,0
Bhojpur,BR,31626,53006,0,0,0,0,0
Buxar,BR,14794,38792,0,0,0,0,0
Darbhanga,BR,39165,82276,0,1,0,0,0
East Champaran,BR,29316,84760,2,0,0,0,0
Gaya,BR,72504,82490,0,1,0,0,0
Gopalganj,BR,31750,70093,0,1,0,0,0
Jamui,BR,24440,24005,0,1,0,0,0
Jehanabad,BR,12986,27200,0,0,0,0,0
Kaimur,BR,19996,28681,0,0,0,0,0
Katihar,BR,53448,75733,0,1,0,0,0
Khagaria,BR,15402,32372,0,0,0,0,0
Kishanganj,BR,24597,25592,4,2,0,0,0
Lakhisarai,BR,8894,16437,0,0,0,0,0
Madhepura,BR,28832,43563,1,0,0,0,0
Madhubani,BR,28535,69785,3,0,0,0,0
Munger,BR,7445,33005,0,1,0,0,0
Muzaffarpur,BR,40686,80513,0,1,0,0,0
Nalanda,BR,36716,66091,0,0,0,0,0
Nawada,BR,46619,35295,1,0,0,0,0
Patna,BR,35436,159875,14,8,0,0,0
Purnia,BR,61212,74531,0,0,0,0,0
Rohtas,BR,40918,59698,2,0,0,0,0
Saharsa,BR,106392,80718,0,0,0,0,0
Samastipur,BR,48167,64119,2,2,0,0,0
Saran,BR,41734,82407,5,2,0,0,0
Sheikhpura,BR,4942,10739,0,0,0,0,0
Sheohar,BR,2946,7111,0,2,0,0,0
Sitamarhi,BR,43474,60677,0,0,0,0,0
Siwan,BR,18385,69069,0,0,0,0,0
Supaul,BR,35486,71754,0,0,0,0,0
Vaishali,BR,45426,59038,1,0,0,0,0
West Champaran,BR,42709,52019,0,0,0,0,0
Chandigarh,CH,3680,21641,28,20,0,10726,0
Balod,CT,5983,9451,2,1,0,0,0
Baloda Bazar,CT,25353,17419,0,3,0,0,0
Balrampur,CT,21912,17709,0,0,0,0,0
Bametara,CT,14367,7690,1,0,0,0,0
Bastar,CT,10696,9616,24,2,0,0,0
Bijapur,CT,1251,913,5,3,0,0,0
Bilaspur,CT,18318,50320,17,8,2,0,0
Dakshin Bastar Dantewada,CT,2225,5410,6,2,0,0,0
Dhamtari,CT,6188,7319,2,2,0,0,0
Durg,CT,17012,22719,26,18,1,0,0
Gariaband,CT,9982,5872,1,0,0,0,0
Gaurela Pendra Marwahi,CT,4045,4587,1,0,0,0,0
Janjgir Champa,CT,45568,30991,19,8,1,0,0
Jashpur,CT,10933,13098,10,6,0,0,0
Kabeerdham,CT,17511,17876,1,0,0,0,0
Kondagaon,CT,8359,7999,4,1,0,0,0
Korba,CT,24033,24911,23,11,0,0,0
Koriya,CT,15621,5751,6,0,1,0,0
Mahasamund,CT,4416,72466,0,1,0,0,0
Mungeli,CT,15254,12880,1,2,0,0,0
Narayanpur,CT,3057,1858,0,1,0,0,0
Other State,CT,0,0,4,3,0,0,0
Raigarh,CT,5114,122838,8,8,0,0,0
Raipur,CT,10441,40794,33,15,0,0,0
Rajnandgaon,CT,15753,25270,5,3,0,0,0
Sukma,CT,3208,5401,1,4,0,0,0
Surajpur,CT,13506,13873,0,0,0,0,0
Surguja,CT,29827,33226,2,0,0,0,0
Uttar Bastar Kanker,CT,17930,14621,3,1,0,0,0
Delhi,DL,160323,269146,267,239,0,395086,0
Dadra and Nagar Haveli,DN,870,6759,0,0,0,0,0
Daman,DN,1880,6793,0,2,0,0,0
Diu,DN,52,690,0,0,0,0,0
North Goa,GA,4007,23958,0,0,0,0,0
South Goa,GA,4401,22504,0,0,0,0,0
Unknown,GA,0,0,222,409,6,0,0
Ahmedabad,GJ,47316,169891,22,14,0,0,0
Amreli,GJ,5473,39398,0,0,0,0,0
Anand,GJ,33012,46764,6,1,0,0,0
Aravalli,GJ,1439,32201,0,0,0,0,0
Banaskantha,GJ,16080,82985,0,0,0,0,0
Bharuch,GJ,21270,45926,0,0,0,0,0
Bhavnagar,GJ,19467,81374,1,0,0,0,0
Botad,GJ,929,14235,0,0,0,0,0
Chhota Udaipur,GJ,699,19920,0,0,0,0,0
Dahod,GJ,626,53547,0,0,0,0,0
Dang,GJ,4140,3726,0,0,0,0,0
Devbhumi Dwarka,GJ,4666,24924,0,0,0,0,0
