districts,statecode,population
Nicobars,AN,36842
North and Middle Andaman,AN,105597
South Andaman,AN,238142
Anantapur,AP,4083315
Chittoor,AP,4170468
East Godavari,AP,5151549
Guntur,AP,4889230
Krishna,AP,4529009
Kurnool,AP,4046601
Prakasam,AP,3392764
S.P.S. Nellore,AP,2966082
Srikakulam,AP,2699471
Visakhapatnam,AP,4288113
Vizianagaram,AP,2342868
West Godavari,AP,3934782
Y.S.R. Kadapa,AP,2884524
Anjaw,AR,21089
Capital Complex,AR,0
Changlang,AR,147951
East Kameng,AR,78413
East Siang,AR,99019
Kamle,AR,22256
Kra Daadi,AR,0
Kurung Kumey,AR,89717
Lepa Rada,AR,0
Lohit,AR,145538
Longding,AR,60000
Lower Dibang Valley,AR,53986
Lower Siang,AR,80597
Lower Subansiri,AR,82839
Namsai,AR,95950
Pakke Kessang,AR,0
Papum Pare,AR,176385
Shi Yomi,AR,13310
Siang,AR,31920
Tawang,AR,49950
Tirap,AR,111997
Upper Dibang Valley,AR,7948
Upper Siang,AR,35289
Upper Subansiri,AR,83205
West Kameng,AR,87013
West Siang,AR,112272
Baksa,AS,953773
Barpeta,AS,1693190
Biswanath,AS,612491
Bongaigaon,AS,732639
Cachar,AS,1736319
Chirang,AS,481818
Darrang,AS,908090
Dhemaji,AS,688077
Dhubri,AS,1948632
Dibrugarh,AS,1327748
Dima Hasao,AS,213529
Goalpara,AS,1008959
Golaghat,AS,1058674
Hailakandi,AS,659260
Hojai,AS,931218
Jorhat,AS,1091295
Kamrup,AS,1517202
Kamrup Metropolitan,AS,1260419
Karbi Anglong,AS,965280
Karimganj,AS,1217002
Kokrajhar,AS,886999
Lakhimpur,AS,1040644
Majuli,AS,167304
Morigaon,AS,957853
Nagaon,AS,2826006
Nalbari,AS,769919
Sivasagar,AS,1150253
Sonitpur,AS,1925975
South Salmara Mankachar,AS,555114
Tinsukia,AS,1316948
Udalguri,AS,832769
West Karbi Anglong,AS,300320
Araria,BR,2806200
Arwal,BR,700843
Aurangabad,BR,2511243
Banka,BR,2029339
Begusarai,BR,2954367
Bhagalpur,BR,3032226
Bhojpur,BR,2720155
Buxar,BR,1707643
Darbhanga,BR,3921971
East Champaran,BR,5082868
Gaya,BR,4379383
Gopalganj,BR,2558037
Jamui,BR,1756078
Jehanabad,BR,1124176
Kaimur,BR,1626900
Katihar,BR,3068149
Khagaria,BR,1657599
Kishanganj,BR,1690948
Lakhisarai,BR,1000717
Madhepura,BR,1994618
Madhubani,BR,4476044
Munger,BR,1359054
Muzaffarpur,BR,4778610
Nalanda,BR,2872523
Nawada,BR,2216653
Patna,BR,5772804
Purnia,BR,3273127
Rohtas,BR,2962593
Saharsa,BR,1897102
Samastipur,BR,4254782
Saran,BR,3943098
Sheikhpura,BR,634927
Sheohar,BR,656916
Sitamarhi,BR,3419622
Siwan,BR,3318176
Supaul,BR,2228397
Vaishali,BR,3495021
West Champaran,BR,3935042
Chandigarh,CH,1055450
Balod,CT,826165
Baloda Bazar,CT,1305343
Balrampur,CT,598855
Bametara,CT,197035
Bastar,CT,1302253
Bijapur,CT,229832
Bilaspur,CT,1961922
Dakshin Bastar Dantewada,CT,533638
Dhamtari,CT,799199
Durg,CT,3343079
Gariaband,CT,597653
Gaurela Pendra Marwahi,CT,0
Janjgir Champa,CT,1620632
Jashpur,CT,852043
Kabeerdham,CT,584667
Kondagaon,CT,578326
Korba,CT,1206563
Koriya,CT,659039
Mahasamund,CT,1032275
Mungeli,CT,701707
Narayanpur,CT,140206
Raigarh,CT,1493627
Raipur,CT,4062160
Rajnandgaon,CT,1537520
Sukma,CT,249000
Surajpur,CT,660280
Surguja,CT,420661
Uttar Bastar Kanker,CT,748593
Delhi,DL,19814000
Dadra and Nagar Haveli,DN,343709
Daman,DN,191173
Diu,DN,52074
North Goa,GA,817761
South Goa,GA,639962
Ahmedabad,GJ,7208200
Amreli,GJ,1513614
Anand,GJ,2090276
Aravalli,GJ,1051746
Banaskantha,GJ,3116045
Bharuch,GJ,1550822
Bhavnagar,GJ,2877961
Botad,GJ,656005
Chhota Udaipur,GJ,1071831
Dahod,GJ,2126558
Dang,GJ,226769
Devbhumi Dwarka,GJ,752484
Gandhinagar,GJ,1387478
Gir Somnath,GJ,1217477
Jamnagar,GJ,2159130
Junagadh,GJ,2742291
Kheda,GJ,2298934
Kutch,GJ,2090313
Mahisagar,GJ,994624
Mehsana,GJ,2027727
Morbi,GJ,960329
Narmada,GJ,590379
Navsari,GJ,1330711
Other State,GJ,0
Panchmahal,GJ,2388267
Patan,GJ,1342746
Porbandar,GJ,586062
Rajkot,GJ,3157676
Sabarkantha,GJ,2427346
Surat,GJ,4996391
Surendranagar,GJ,1755873
Tapi,GJ,806489
Vadodara,GJ,3639775
Valsad,GJ,1703068
Bilaspur,HP,382056
Chamba,HP,518844
Hamirpur,HP,454293
Kangra,HP,1507223
Kinnaur,HP,84298
Kullu,HP,437474
Lahaul and Spiti,HP,31528
Mandi,HP,999518
Shimla,HP,813384
Sirmaur,HP,530164
Solan,HP,576670
Una,HP,521057
Ambala,HR,1136784
Bhiwani,HR,1629109
Charkhi Dadri,HR,502276
Faridabad,HR,1798954
Fatehabad,HR,941522
Gurugram,HR,1514085
Hisar,HR,1742815
Jhajjar,HR,956907
Jind,HR,1332042
Kaithal,HR,1072861
Karnal,HR,1506323
Kurukshetra,HR,964231
Mahendragarh,HR,921680
Nuh,HR,1089406
Palwal,HR,1040493
Panchkula,HR,558890
Panipat,HR,1202811
Rewari,HR,896129
Rohtak,HR,1058683
Sirsa,HR,1295114
Sonipat,HR,1480080
Yamunanagar,HR,1214162
Bokaro,JH,2061918
Chatra,JH,1042304
Deoghar,JH,1491879
Dhanbad,JH,2682662
Dumka,JH,1321096
East Singhbhum,JH,2291032
Garhwa,JH,1322387
Giridih,JH,2445203
Godda,JH,1311382
Gumla,JH,1025656
Hazaribagh,JH,1734005
Jamtara,JH,790207
Khunti,JH,530299
Koderma,JH,717169
Latehar,JH,725673
Lohardaga,JH,461738
Pakur,JH,899200
Palamu,JH,1936319
Ramgarh,JH,949159
Ranchi,JH,2912022
Sahibganj,JH,1150038
Saraikela-Kharsawan,JH,1063458
Simdega,JH,599813
West Singhbhum,JH,1501619
Anantnag,JK,1070144
Bandipora,JK,385099
Baramulla,JK,1015503
Budgam,JK,735753
Doda,JK,409576
Ganderbal,JK,297003
Jammu,JK,1526406
Kathua,JK,615711
Kishtwar,JK,230696
Kulgam,JK,422786
Kupwara,JK,875564
Pulwama,JK,570060
Punch,JK,476820
Rajouri,JK,619266
Ramban,JK,283313
Reasi,JK,314714
Samba,JK,318611
Shopiyan,JK,265960
Srinagar,JK,1269751
Udhampur,JK,555357
Bagalkote,KA,1890826
Ballari,KA,2532383
Belagavi,KA,4778439
Bengaluru Rural,KA,987257
Bengaluru Urban,KA,9588910
Bidar,KA,1700018
Chamarajanagara,KA,1020962
Chikkaballapura,KA,1254377
Chikkamagaluru,KA,1137753
Chitradurga,KA,1660378
Dakshina Kannada,KA,2083625
Davanagere,KA,1946905
Dharwad,KA,1846993
Gadag,KA,1065235
Hassan,KA,1776221
Haveri,KA,1598506
Kalaburagi,KA,2564892
Kodagu,KA,554762
Kolar,KA,1540231
Koppal,KA,1391292
Mandya,KA,1808680
Mysuru,KA,2994744
Raichur,KA,1924773
Ramanagara,KA,1082739
Shivamogga,KA,1755512
Tumakuru,KA,2681449
Udupi,KA,1177908
Uttara Kannada,KA,1353299
Vijayapura,KA,2175102
Yadgir,KA,1172985
Alappuzha,KL,2121943
Ernakulam,KL,3279860
Idukki,KL,1107453
Kannur,KL,2525637
Kasaragod,KL,1302600
Kollam,KL,2629703
Kottayam,KL,1979384
Kozhikode,KL,3089543
Malappuram,KL,4110956
Palakkad,KL,2810892
Pathanamthitta,KL,1195537
Thiruvananthapuram,KL,3307284
Thrissur,KL,3110327
Wayanad,KL,816558
Kargil,LA,143000
Leh,LA,147000
Lakshadweep,LD,64473
Ahmednagar,MH,4543083
Akola,MH,1818617
Amravati,MH,2887826
Aurangabad,MH,3695928
Beed,MH,2585962
Bhandara,MH,1198810
Buldhana,MH,2588039
Chandrapur,MH,2194262
Dhule,MH,2048781
Gadchiroli,MH,1071795
Gondia,MH,1322331
Hingoli,MH,1178973
Jalgaon,MH,4224442
Jalna,MH,1958483
Kolhapur,MH,3874015
Latur,MH,2455543
Mumbai,MH,12442373
Nagpur,MH,4653171
Nanded,MH,3356566
Nandurbar,MH,1646177
Nashik,MH,6109052
Osmanabad,MH,1660311
Palghar,MH,2990116
Parbhani,MH,1835982
Pune,MH,9426959
Raigad,MH,2635394
Ratnagiri,MH,1612672
Sangli,MH,2820575
Satara,MH,3003922
Sindhudurg,MH,848868
Solapur,MH,4315527
Thane,MH,11060148
Wardha,MH,1296157
Washim,MH,1196714
Yavatmal,MH,2775457
East Garo Hills,ML,317618
East Jaintia Hills,ML,122436
East Khasi Hills,ML,824059
North Garo Hills,ML,118325
Ribhoi,ML,258380
South Garo Hills,ML,142574
South West Garo Hills,ML,172495
South West Khasi Hills,ML,110152
West Garo Hills,ML,642923
West Jaintia Hills,ML,270352
West Khasi Hills,ML,385601
Bishnupur,MN,240363
Chandel,MN,144028
Churachandpur,MN,271274
Imphal East,MN,452661
Imphal West,MN,514683
Jiribam,MN,43818
Kakching,MN,135481
Kamjong,MN,45616
Pherzawl,MN,47250
Senapati,MN,354772
Tamenglong,MN,140143
Thoubal,MN,420517
Ukhrul,MN,183115
Alirajpur,MP,728677
Anuppur,MP,749521
Ashoknagar,MP,844979
